"Name","Route","Url","State","Http","Bytes","Error"
"dashboard","/work-os/dashboard","http://127.0.0.1:3100/work-os/dashboard","FAIL","0","0","Response status code does not indicate success: 404 (Not Found)."
"notifications","/notifications","http://127.0.0.1:3100/notifications","PASS","200","45958",""
"notification_center","/work-os/notification-center","http://127.0.0.1:3100/work-os/notification-center","PASS","200","46481",""
"approvals","/work-os/approvals","http://127.0.0.1:3100/work-os/approvals","PASS","200","46306",""
"search","/search","http://127.0.0.1:3100/search","FAIL","0","0","Response status code does not indicate success: 404 (Not Found)."
"action_center","/action-center","http://127.0.0.1:3100/action-center","PASS","200","50554",""
"global_command_api","/api/v1/work-os/global-command","http://127.0.0.1:3100/api/v1/work-os/global-command","FAIL","0","0","Response status code does not indicate success: 404 (Not Found)."
"taskuri_overview","/taskuri/overview","http://127.0.0.1:3100/taskuri/overview","PASS","200","66455",""
"taskuri_tickets","/taskuri/tickets-notificari","http://127.0.0.1:3100/taskuri/tickets-notificari","PASS","200","81585",""
"taskuri_workload","/taskuri/workload-aprobari","http://127.0.0.1:3100/taskuri/workload-aprobari","PASS","200","59172",""
